source,target,edge_track_name,spotify_track_name,spotify_artists,track_name_conincides,artists_coincides,id,preview,error
Bad Bunny,Becky G,Mayores,Mayores,"Becky G, Bad Bunny",TRUE,TRUE,2AY1UAimvTqjJC8vDJsOyy,https://p.scdn.co/mp3-preview/9430fe0d90a415dad3c2de3c06120ac1706c1f82?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Amenazzy,Lean,Lean,"Amenazzy, Bad Bunny, Lito Kirino",TRUE,TRUE,4zQJf65ZNkPgEl3i622bbA,https://p.scdn.co/mp3-preview/e698586ea07664b0624f4fbcb2d2f6137d4a4078?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Lito Kirino,Lean,Lean,"Amenazzy, Bad Bunny, Lito Kirino",TRUE,TRUE,4zQJf65ZNkPgEl3i622bbA,https://p.scdn.co/mp3-preview/e698586ea07664b0624f4fbcb2d2f6137d4a4078?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Nacho,Báilame - Remix,Báilame - Remix,"Nacho, Yandel, Bad Bunny, Mambo Kingz, DJ Luian",TRUE,TRUE,4l3xGFwoTinvYxsePytOOf,https://p.scdn.co/mp3-preview/2aaf4fad0a9312f40609ad7a3d02a5687b619578?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,DJ Luian,Diles,Diles,"Bad Bunny, Ozuna, Farruko, Arcangel, Ñengo Flow, DJ Luian, Mambo Kingz",TRUE,TRUE,6C1RD7YQVvt3YQj0CmuTeu,https://p.scdn.co/mp3-preview/0a4fa12dea105b71d7e0a9facddc6b8cfe138af5?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Almighty,Me Mata,Me Mata,"Bad Bunny, Mambo Kingz, DJ Luian, Arcangel, Almighty, Bryant Myers, Noriel, Baby Rasta, Brytiago",TRUE,TRUE,2wgDAPgBhFA7pnIbm0YOhP,https://p.scdn.co/mp3-preview/f91a153f4e47c4a6fc9fe768fb51593f3a4f8b86?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Quimico Ultra Mega,Me Llueven 2,Me Llueven 2,"Bad Bunny, Almighty, Denyerkin, Quimico Ultra Mega, El Fother",TRUE,TRUE,7oZKzSymWd6cTXX4sEYiXo,https://p.scdn.co/mp3-preview/eca83cfe78e36359335369e329e9c5fe73bbc2f0?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Mark B.,Me Llueven (Extended Version),Me Llueven (Extended Version),"Bad Bunny, Mark B., Poeta Callejero, Almighty, Quimico Ultra Mega, Denyerkin, El Fother, Bryant Myers, Noriel, Kevin Roldan",TRUE,TRUE,4Mp0gqjE6eqY8LT4UZPTZq,https://p.scdn.co/mp3-preview/4e3646497d1c79fdc8b8e1fa7996b5330c2353a3?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Kevin Roldan,Me Llueven 3.0,Me Llueven 3.0,"Bad Bunny, Kevin Roldan, Noriel, Bryant Myers, Almighty",TRUE,TRUE,7b59ZUw0TkGZuE0HNeiuc4,https://p.scdn.co/mp3-preview/965431c18119ecc8c6a2cf3003c384edb141a20e?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Messiah,Give It Up,Give It Up,"Breakfast n Vegas, Messiah, Bad Bunny, Tory Lanez, DJ Yonny",TRUE,TRUE,5dhOWHLE6k2uBeKRwDOniw,https://p.scdn.co/mp3-preview/0d4861d71847349121e3da1eb1722dbc8211f6be?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Baby Rasta,Me Mata,Me Mata,"Bad Bunny, Mambo Kingz, DJ Luian, Arcangel, Almighty, Bryant Myers, Noriel, Baby Rasta, Brytiago",TRUE,TRUE,2wgDAPgBhFA7pnIbm0YOhP,https://p.scdn.co/mp3-preview/f91a153f4e47c4a6fc9fe768fb51593f3a4f8b86?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Lary Over,Trepate,Trepate,"Sixto Rein, Lary Over, Bad Bunny, EZ El Ezeta",TRUE,TRUE,54Jbp9l25XPwT0hXvpULRh,https://p.scdn.co/mp3-preview/0b2a3f86c99aafcfe676624cedbd3e6d54e22dd1?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Jory Boy,No Te Hagas,No Te Hagas,"Jory Boy, Bad Bunny",TRUE,TRUE,5hKjEpYrJIJs6uPl7zw6Y6,https://p.scdn.co/mp3-preview/88bd032542da46dbf95d2e27c0b39c378625c393?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Trap Capos,Amigos y Enemigos (feat. Bad Bunny & Almighty) - Remix,Amigos y Enemigos (feat. Bad Bunny & Almighty) - Remix,"Trap Capos, Noriel, Bad Bunny, Almighty",TRUE,TRUE,2sA4woGW5KgEgGXXxOKPAZ,https://p.scdn.co/mp3-preview/d741ef4f27a96873d7a0eb624c220f8b5009ea6a?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Justin Quiles,Crecia,Crecia,"Justin Quiles, Bad Bunny, Almighty",TRUE,TRUE,7GfSJBI4qbAG40RTa9jhVu,https://p.scdn.co/mp3-preview/f61520115d6fae7e00e793590bdc1773acb10914?cid=774b29d4f13844c495f206cafdad9c86,
Bad Bunny,Zion,Caile,Caile,"Bad Bunny, Bryant Myers, De La Ghetto, Revol, Zion",TRUE,TRUE,5lr877wwUsB8inLGywHKxa,https://p.scdn.co/mp3-preview/d7c8d8de3dbc302745e4d81b562eab77cc42dd57?cid=774b29d4f13844c495f206cafdad9c86,
Jhay Cortez,Anuel AA,Ley Seca,Ley Seca,"Jhay Cortez, Anuel AA",TRUE,TRUE,3JCaq3KDSROg3TXhdiDa9n,https://p.scdn.co/mp3-preview/ed10837cd98fccd9403eaf29e4e8c4c15c96e39c?cid=774b29d4f13844c495f206cafdad9c86,
Jhay Cortez,Kendo Kaponi,Ropa Interior,Ropa Interior,"Jhay Cortez, Kendo Kaponi",TRUE,TRUE,6VbBXLHYIriwKQUKbI8dwE,https://p.scdn.co/mp3-preview/04140fa7dc4603fa39d69fd1c10034c96fb2305c?cid=774b29d4f13844c495f206cafdad9c86,
