id,label,interval,followers,popularity,id,componentnumber,strongcompnum,indegree,outdegree,unique_collabs,weighted_indegree,weighted_outdegree,total_collabs,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks
Trap Capos,Trap Capos,,352280,59,2pQAUIesBqfT87PaM1ijtk,0,66,3,27,30,22,76,98,7,0.31213,0.360413,75.851515,0,0.000361
Justin Quiles,Justin Quiles,,3647339,80,14zUHaJZo1mnYtn6IBRaRP,0,66,56,54,110,145,108,253,6,0.35158,0.412595,8974.99642,0,0.004121
Zion,Zion,,3092804,73,1pgDilWYDWLoOgGjf1iHNu,0,66,45,21,66,85,24,109,7,0.308473,0.354011,1285.477708,3,0.003366
Feid,Feid,,1779611,85,2LRoIwlKmHjgvigdNGBHNo,0,66,35,41,76,66,70,136,6,0.339201,0.392869,8911.489726,0,0.003723
Tokischa,Tokischa,,169149,64,2p4aN0Uxkk3iT3HK0cJ2cJ,0,66,8,8,16,12,9,21,7,0.260382,0.290256,110.783502,13,0.001019
Maria Becerra,Maria Becerra,,2884355,81,1DxLCyH42yaHKGK3cl5bvG,0,66,22,23,45,39,30,69,6,0.324569,0.367679,3576.164447,10,0.002094
Jay Wheeler,Jay Wheeler,,2706806,78,2cPqdH7XMvwaBJEVjheH8g,0,66,52,22,74,108,47,155,6,0.309925,0.354114,1604.67391,0,0.004014
Wisin & Yandel,Wisin & Yandel,,5508912,79,1wZtkThiXbVNtj6hee6dz9,0,66,38,50,88,72,130,202,7,0.346036,0.403683,6350.610621,3,0.002738
BIA,BIA,,357591,67,6veh5zbFpm31XsPdjBgPER,0,66,4,1,5,5,1,6,7,0.253368,0.272993,4.359511,0,0.000508
Fuego,Fuego,,249378,66,7wU2WGCJ8HxkekHHE2QLul,0,66,21,16,37,28,27,55,7,0.312747,0.353409,4119.160994,10,0.002151
Trueno,Trueno,,3655977,74,2x7PC78TmgqpEIjaGAZ0Oz,0,66,10,13,23,13,22,35,6,0.293353,0.33211,2815.796997,10,0.001214
Dímelo Flow,Dímelo Flow,,315119,71,3fZk3Gm5dN5v5yfYMQ04Bx,0,66,30,33,63,60,106,166,6,0.324302,0.375295,1617.377731,0,0.002579
Lenny Tavárez,Lenny Tavárez,,1894138,80,1pQWsZQehhS4wavwh7Fnxd,0,66,50,33,83,113,70,183,7,0.31945,0.372881,2501.828466,0,0.003855
KEVVO,KEVVO,,444817,64,4QrBoWLm2WNlPdbFhmlaUZ,0,66,46,29,75,68,38,106,7,0.312253,0.362966,2124.399758,0,0.004381
Maluma,Maluma,,31778738,83,1r4hJ1h58CWwUQe3MxPuau,0,66,45,51,96,84,75,159,6,0.347405,0.405148,12318.925572,6,0.00317
Wisin,Wisin,,8000710,76,3E6xrwgnVfYCrCs0ePERDz,0,66,66,65,131,156,165,321,6,0.365233,0.42827,17762.044286,3,0.005084
Juanka,Juanka,,600321,66,3Wb38LDP3N4tkobValgE9D,0,66,46,27,73,89,36,125,7,0.314741,0.36208,3889.438731,0,0.003303
Camilo,Camilo,,15980416,80,28gNT5KBp7IjEOQoevXf9N,0,66,17,15,32,31,20,51,6,0.322712,0.359198,2007.829233,6,0.001502
Dalex,Dalex,,4229316,75,0KPX4Ucy9dk82uj4GpKesn,0,66,46,36,82,100,107,207,7,0.321923,0.376257,1967.184575,0,0.003715
Manuel Turizo,Manuel Turizo,,10002778,80,0tmwSHipWxN12fsoLcFU3B,0,66,39,48,87,69,78,147,6,0.349403,0.408966,5678.552559,2,0.003033
Romeo Santos,Romeo Santos,,16003536,78,5lwmRuXgjX8xIwlnauTZIP,0,66,13,26,39,26,42,68,7,0.311391,0.356206,8018.014803,6,0.001229
R.K.M & Ken-Y,R.K.M & Ken-Y,,496580,63,3jFjgKOGfVLWfXX8q5wrsg,0,66,15,17,32,29,25,54,7,0.30245,0.341787,1528.891567,3,0.001077
Amarion,Amarion,,68502,52,7Bb4i0RT3zaudzb8KvxTUQ,0,66,11,11,22,14,11,25,7,0.283662,0.320193,171.661336,0,0.000996
Tiago PZK,Tiago PZK,,2266528,80,5Y3MV9DZ0d87NnVm56qSY1,0,66,20,19,39,35,33,68,6,0.303496,0.342131,4286.176304,10,0.002413
Boza,Boza,,445801,68,2NfSBtmWe7oPw1EmetJVso,0,66,13,11,24,18,15,33,6,0.29588,0.330549,256.699671,2,0.001239
Anthony Santos,Anthony Santos,,732835,60,06TVTkMAOR935MhkjX0i2A,0,66,5,4,9,10,5,15,7,0.268799,0.295597,135.115338,3,0.00043
Los Legendarios,Los Legendarios,,76105,68,0n6sKrG0xKAf8xmdqeNGke,0,66,13,24,37,41,61,102,6,0.317907,0.362848,413.343484,3,0.001173
Rochy RD,Rochy RD,,647160,64,4riOEaOW5hCeqomFDBk0aP,0,66,13,3,16,24,4,28,8,0.256161,0.282464,106.360394,13,0.00145
Morad,Morad,,1135256,74,4az97MtWmBQ5Db3GfDh9j9,0,66,7,5,12,13,6,19,7,0.272884,0.302538,830.709834,10,0.001001
Ovi,Ovi,,745492,66,4o0NtnL2m0lzZmEdRas1qv,0,66,17,27,44,23,39,62,7,0.326446,0.374358,2744.025229,0,0.002184
Flow La Movie,Flow La Movie,,13868,60,2oT7xd9iTO2ejLsNGIMa5f,0,66,9,13,22,21,27,48,7,0.291621,0.330434,11.750073,0,0.000901
Reik,Reik,,7449032,77,0vR2qb8m9WHeZ5ByCbimq2,0,66,35,36,71,48,47,95,6,0.348018,0.397553,13235.248568,6,0.003192
"Gotay ""El Autentiko""","Gotay ""El Autentiko""",,549463,60,6ieK9Ddas29reReO60on3o,0,66,18,18,36,41,30,71,7,0.299697,0.342345,532.759242,0,0.001276
"Secreto ""El Famoso Biberon""","Secreto ""El Famoso Biberon""",,379855,53,37UACiDcdzEYii0iU0QpAf,0,66,15,9,24,24,16,40,8,0.249526,0.277512,296.915484,13,0.001669
Lyanno,Lyanno,,722189,72,1Ts9of7VPZElwPQnqnDSfW,0,66,58,59,117,102,88,190,6,0.341548,0.406878,8716.758121,0,0.004469
Luis Fonsi,Luis Fonsi,,10480610,75,4V8Sr092TqfHkfAA5fXXqG,0,66,27,25,52,39,51,90,6,0.335456,0.379473,8715.163959,6,0.002053
Juhn,Juhn,,1029700,71,2LmcxBak1alK1bf7d1beTr,0,66,38,30,68,82,36,118,6,0.305019,0.354409,1974.696995,0,0.00339
Jon Z,Jon Z,,4522885,70,5bWUlnPx9OYKsLiUJrhCA1,0,66,64,25,89,132,44,176,7,0.298001,0.344708,6627.759937,0,0.005852
Ele A El Dominio,Ele A El Dominio,,1265746,63,4SzD0wClEg9NKVJZbCRFqS,0,66,17,8,25,25,14,39,8,0.255581,0.285113,2797.227061,0,0.001904
Chris Jedi,Chris Jedi,,1929247,72,0qTZZWLzuD59Un5r1speHm,0,66,5,8,13,9,13,22,6,0.289908,0.325063,32.411889,0,0.000518
Plan B,Plan B,,1959124,76,2jSGzJw0ebJLu7OLVSOcBP,0,66,24,24,48,39,39,78,7,0.30944,0.358273,570.662523,3,0.001872
Randy,Randy,,276120,68,7qYeIN2r4H1kBvr0Gm9Iav,0,66,38,43,81,62,77,139,7,0.319321,0.377185,3024.949293,0,0.003167
Yomo,Yomo,,840351,56,4myAXQmMuS1lZe8T6Y7eBg,0,66,33,16,49,66,16,82,7,0.300952,0.34113,1236.331085,3,0.002017
Dalmata,Dalmata,,1372903,62,3jGlU8UMMo44I2xeLQ6FD3,0,66,13,4,17,28,4,32,7,0.264391,0.289002,530.031572,2,0.001258
Farina,Farina,,325626,60,7cYik4OyfBXYV5Z2TI7p90,0,66,18,6,24,29,8,37,7,0.29879,0.326995,2383.81896,6,0.001564
Prince Royce,Prince Royce,,7124362,75,3MHaV05u0io8fQbZ2XPtlC,0,66,23,21,44,32,24,56,6,0.315243,0.358966,4296.799707,6,0.002252
Alexis y Fido,Alexis y Fido,,4505344,64,7tU1VKOuxiNZwBZC6RHidA,0,66,26,42,68,43,97,140,7,0.331376,0.387185,4149.587741,3,0.001582
Leslie Grace,Leslie Grace,,1192991,61,6BeO1KuAWBqFriL1mLHtNc,0,66,11,11,22,12,12,24,7,0.301412,0.336121,932.571795,6,0.001077
Luigi 21 Plus,Luigi 21 Plus,,1005517,58,77GVmrLGuxNEvj2ibvT62v,0,66,23,23,46,35,47,82,7,0.298903,0.345636,1268.98495,0,0.001573
Felipe Peláez,Felipe Peláez,,1096993,57,6dexNK5MjEL8UvmA5MjSgg,0,66,3,7,10,3,8,11,7,0.304902,0.335142,549.872054,6,0.000384
Piso 21,Piso 21,,8304103,73,4bw2Am3p9ji3mYsXNXtQcd,0,66,20,21,41,27,27,54,6,0.318035,0.361603,1627.875438,6,0.001858
Dyland & Lenny,Dyland & Lenny,,518141,50,6EiZOxfG8B5evnLH4KnJeF,0,66,2,12,14,2,23,25,7,0.299129,0.338327,108.903121,3,0.000296
Lalo Ebratt,Lalo Ebratt,,1749774,66,1GAymyGBvB4gQy5Z5LZ1Wj,0,66,29,35,64,55,57,112,6,0.339785,0.390295,6076.441249,2,0.002431
Blessd,Blessd,,973872,74,1TA5sGRlKUJXBN4ZyJuDIX,0,66,15,18,33,18,20,38,7,0.30303,0.34402,1150.518493,2,0.001444
Beéle,Beéle,,398648,70,7a0XAaPaK2aDSqa8p3QnC7,0,66,22,22,44,29,25,54,7,0.309682,0.353641,816.357942,2,0.001799
Carlos Rivera,Carlos Rivera,,3645418,72,39yVoqm6sYFvvqF1RciUVf,0,66,27,28,55,43,52,95,7,0.323241,0.370425,22191.627678,6,0.002217
Reykon,Reykon,,3075775,61,3PAwspMN27PDm81WwXDsMf,0,66,17,14,31,21,18,39,7,0.312006,0.349729,1393.830872,0,0.001316
Silvestre Dangond,Silvestre Dangond,,3714139,64,3OcvS8PzSGYMBvLdzY6g3e,0,66,15,4,19,18,4,22,7,0.276224,0.304373,1834.003279,6,0.001291
Shakira,Shakira,,24393175,85,0EmeFodog0BfCgMzAIvKQp,0,66,11,14,25,17,40,57,7,0.304314,0.342303,4453.250516,6,0.00112
Wolfine,Wolfine,,1458437,58,2OnKRchqP7tT0FzTvWIFI7,0,66,2,3,5,3,8,11,7,0.272414,0.297007,5.523741,0,0.000321
Pitbull,Pitbull,,9480300,82,0TnOYISbd1XYRBk9myaseg,0,66,34,23,57,88,53,141,7,0.313492,0.357408,9283.116572,6,0.00302
J Alvarez,J Alvarez,,4731828,66,6XFITTl7cFTdopDY3lUdlY,0,66,37,62,99,91,365,456,7,0.339201,0.40497,5124.764864,0,0.002602
Natalia Jiménez,Natalia Jiménez,,698736,63,0j8QSBQZ9MNSGjHr1Vll1R,0,66,10,10,20,13,13,26,7,0.304666,0.338442,3626.097437,6,0.000932
Baby Rasta & Gringo,Baby Rasta & Gringo,,2687722,62,3IEvQoAohcGX7CdrbtIle7,0,66,16,22,38,46,43,89,7,0.303263,0.348041,1024.809956,3,0.000894
"Tito ""El Bambino""","Tito ""El Bambino""",,3181179,68,5fJsY7afrbsyzJj9wdzJMh,0,66,32,48,80,50,93,143,7,0.334462,0.394379,5765.852098,3,0.002246
Yaga & Mackie,Yaga & Mackie,,415425,60,16Juw2gfa9IxEL3Vu69cH7,0,66,14,24,38,19,39,58,7,0.310779,0.356248,1670.711903,3,0.000997
Sebastian Yatra,Sebastian Yatra,,19625821,81,07YUOmWljBTXwIseAUd9TW,0,66,40,56,96,74,120,194,6,0.364559,0.422954,24700.358507,2,0.003239
Mariah Angeliq,Mariah Angeliq,,338519,70,0KKUc4amZyvswV2YL6WTar,0,66,31,28,59,37,36,73,6,0.326446,0.375253,2277.979402,0,0.002212
Nathy Peluso,Nathy Peluso,,901332,70,3VHAySZQPlfGlNLslzXYpN,0,66,6,4,10,8,4,12,7,0.277778,0.301058,197.967962,10,0.000827
Brray,Brray,,174287,70,1GKIlPFdcewHtpDVCQ8zmJ,0,66,79,27,106,150,43,193,7,0.314866,0.36402,4175.169386,0,0.006386
Alberto Stylee,Alberto Stylee,,298280,54,5mgqYTU6dhKlEdi7DOy4uU,0,66,13,16,29,28,36,64,7,0.296213,0.337586,1257.376848,3,0.001288
Alejo,Alejo,,22610,69,50sIhX3HytFEwQXZJLUZQE,0,66,9,7,16,10,7,17,6,0.293027,0.322616,187.7209,3,0.000905
Haze,Haze,,6497,55,77iZVjeYoYSl5P0K9mIiUE,0,66,6,7,13,9,9,18,7,0.291728,0.322333,16.176704,0,0.000578
