,spotify_id,name_id,name,followers,betweeness_centrality,group,unique_collabs,total_collabs,image
378,69BUYvpG9MbjCyIZfsFdhJ,Reyli Barba,Reyli Barba,1496382,10112.475231,5,24,26,https://i.scdn.co/image/ab6761610000e5ebc2ab48da78edcd1f929eb096
379,3jO5UGHrEzfd5YIamfs7Ir,Kumbia Kings,Kumbia Kings,278595,1360.810854,5,6,15,https://i.scdn.co/image/ab6761610000e5ebd802587be4827c71e3e75855
380,43hb5av90CTCWFldaaTp7n,Erik Rubin,Erik Rubin,267253,790.258697,5,14,25,https://i.scdn.co/image/ab6761610000e5eb3dc138e76e7b27bb0e25dfb7
381,4aeIWo5CMF1uRmqgJdwkZW,Joaquín Sabina,Joaquín Sabina,2518798,2605.82578,5,21,31,https://i.scdn.co/image/ab6761610000e5ebd30f9a429e2aa4eb9d1ddf21
382,3tAICgiSR5PfYY4B8qsoAU,Andrés Calamaro,Andrés Calamaro,1988292,7694.474526,5,32,75,https://i.scdn.co/image/ab6761610000e5ebed165e2586ad0d13b2bc078b
383,7afXSXOa8dE3c2C5XIguAv,Edith Márquez,Edith Márquez,1060794,136.989327,3,5,8,https://i.scdn.co/image/ab6761610000e5eb1d4621cdfd025be285e2cfdd
384,4kcnsS1aAB40FMcLD01gmI,KURT,KURT,239582,1361.921089,5,10,15,https://i.scdn.co/image/ab6761610000e5ebfc07203eae732c92d72f2025
385,3ZtIhDSOuRkpDyqjx53X1R,Esteman,Esteman,255741,595.899655,5,13,53,https://i.scdn.co/image/ab6761610000e5eba13eeedbbad39601b0a13de9
386,4bJh7sMPcVRiqe5jlnsWQV,DELLAFUENTE,DELLAFUENTE,570579,1002.980714,2,12,16,https://i.scdn.co/image/ab6761610000e5ebe9aeecbe10830137c4816b8c
387,4nXXIxTneJksvGXrlmX8oA,Kaydy Cain,Kaydy Cain,359027,2872.01466,2,38,51,https://i.scdn.co/image/ab6761610000e5ebb8f598224caa8b1371059864
388,0jeYkqwckGJoHQhhXwgzk3,Cruz Cafuné,Cruz Cafuné,208391,2362.849704,2,32,22,https://i.scdn.co/image/ab6761610000e5eb3912a311272f7b3ce56b2551
389,0zGM73sadbAOBLev02P8LO,Monica Naranjo,Monica Naranjo,614373,137.967774,5,7,8,https://i.scdn.co/image/ab6761610000e5eb811a2c80493660e20ad2fc22
390,2DP9xStkVVv753RBiEHXQB,Alkilados,Alkilados,1915949,2208.799234,0,21,38,https://i.scdn.co/image/ab6761610000e5ebe19e07273c64fb35c283904c
391,03Yb3iBy9GCifXiATEFcit,Pepe Aguilar,Pepe Aguilar,3656092,831.692003,5,11,12,https://i.scdn.co/image/ab6761610000e5eb6b204aa054bc0ce378462976
392,108moq3rq6bm1M4Ypz0J02,Intocable,Intocable,2770565,686.712285,5,6,7,https://i.scdn.co/image/ab6761610000e5ebe364b70e75860fb98604fb0f
393,5B8ApeENp4bE4EE3LI8jK2,Yuridia,Yuridia,2828293,234.450024,5,10,97,https://i.scdn.co/image/ab6761610000e5eb1e7d48150ced6100142a7138
394,2uyweLa0mvPZH6eRzDddeB,Rocío Dúrcal,Rocío Dúrcal,3179921,896.93353,5,10,27,https://i.scdn.co/image/2ae2272c989c4a0921f0dd99240ef51784fda6f3
395,5lODCkFdEtpPn3YxfmyLfT,Armando Manzanero,Armando Manzanero,610737,1333.664792,5,11,19,https://i.scdn.co/image/ab6761610000e5ebbada8e184bd77e4484d5f0c3
396,2HvyR5FsU37QMqVzIbGwl7,Mercedes Sosa,Mercedes Sosa,760831,3888.955657,5,32,54,https://i.scdn.co/image/ab6761610000e5eb513c5e2928bba4a3d4608eb4
397,44nb9BaqV2jVvxKCaXHwlP,Pandora,Pandora,267973,990.007097,5,13,15,https://i.scdn.co/image/ab6761610000e5eb1fc64f81515cd5d1a08c0bab
398,1G89WXRVVAEjU4VIwgg6XD,Ventino,Ventino,1298285,202.254522,3,7,7,https://i.scdn.co/image/ab6761610000e5eb3472eaad69b01369abfebb37
