source,target,edge_track_name,spotify_track_name,spotify_artists,track_name_conincides,artists_coincides,id,preview
Duki,Young Cister,Fifty Fifty,Fifty Fifty,"Duki, Pablo Chill-E, Obie Wanshot, Neo Pistea, Julianno Sosa, Young Cister",TRUE,TRUE,5B84PuLYzNjHvfy5EpgsfW,https://p.scdn.co/mp3-preview/b9849bb0678ceb2f359a7bca3ce40b5325238b44?cid=774b29d4f13844c495f206cafdad9c86
Duki,Tobi,Valentino,Valentino,"Duki, Tobi",TRUE,TRUE,27uT2ouF88miD988lpgkm5,https://p.scdn.co/mp3-preview/8ca44b4ea3978a14fa887b1a20abac59136d9b5d?cid=774b29d4f13844c495f206cafdad9c86
Duki,CA7RIEL,Muero de Fiesta Este Finde,Muero de Fiesta Este Finde,"Duki, CA7RIEL",TRUE,TRUE,7vUZ4l9XWZLlYdkaRw5kXh,https://p.scdn.co/mp3-preview/dc6ba8fb0d3795c735267a8ee1ec100eaad56c75?cid=774b29d4f13844c495f206cafdad9c86
Duki,Kidd Keo,24,,,,,,FALSE
Duki,Eladio Carrion,One Million Dollar Baby,One Million Dollar Baby,"Duki, Eladio Carrion, Sfera Ebbasta",TRUE,TRUE,2u5yscz12pZF9Z3ls3BshU,https://p.scdn.co/mp3-preview/309645523c95f424c14acdbc80a6384c0337c063?cid=774b29d4f13844c495f206cafdad9c86
Duki,Vicentico,Entre Cuatro Paredes,Entre Cuatro Paredes,"Duki, Vicentico, La Bomba de Tiempo",TRUE,TRUE,0tsaTSU7uVeP6DK8FEd2xL,https://p.scdn.co/mp3-preview/87edd773fb60c0fdf3981ebf327a911d90ba5a2f?cid=774b29d4f13844c495f206cafdad9c86
Duki,Marcianos Crew,La Jefatura,La Jefatura,"Duki, Marcianos Crew, Lucho SSJ",TRUE,TRUE,2lllz0GoFtRdHMaqGlqcoL,https://p.scdn.co/mp3-preview/331322875a3dbfb5f9189b589a8bba8bb369010c?cid=774b29d4f13844c495f206cafdad9c86
Duki,Frijo,Perrea,Perrea,"Duki, NEGRO DUB, WE$T DUBAI, Frijo",TRUE,TRUE,5741HtrLoxwb6apydl2bzn,https://p.scdn.co/mp3-preview/cfd189591686fe3f422f5f89e9d6ae9db20197c3?cid=774b29d4f13844c495f206cafdad9c86
Pablo Chill-E,Harry Nach,Bella,Bella,"Pablo Pesadilla, Harry Nach, Marcianeke, Pablo Chill-E",TRUE,TRUE,6JGaJHFfj6AprtmJnG88t5,https://p.scdn.co/mp3-preview/440e9fa2935fc7fb919d3104bb63ccdc519aa0cb?cid=774b29d4f13844c495f206cafdad9c86
Pablo Chill-E,Yung Beef,Singapur (feat. Yung Beef),Singapur (feat. Yung Beef),"Pablo Chill-E, Yung Beef",TRUE,TRUE,1Q7NJD40pBK47Ii1ZdBTyi,https://p.scdn.co/mp3-preview/34996279af81a27979ce6f7179c678733b6ab88e?cid=774b29d4f13844c495f206cafdad9c86
Pablo Chill-E,Julianno Sosa,Deseos,Deseos,"Pablo Chill-E, Julianno Sosa",TRUE,TRUE,2AxLTHG7lOBmnyB5FmOMwz,https://p.scdn.co/mp3-preview/096ef4e87ac4e69f5a5494945e474c2995074ec3?cid=774b29d4f13844c495f206cafdad9c86
Pablo Chill-E,Duki,Misiones (Remix) (feat. Duki),Misiones (Remix) (feat. Duki),"Pablo Chill-E, Duki",TRUE,TRUE,56EvTtsyFL3JRjgnrafZQ0,https://p.scdn.co/mp3-preview/d35217c571f0f82af8e8eb2001622cbd44c56c54?cid=774b29d4f13844c495f206cafdad9c86
Pablo Chill-E,Polimá Westcoast,SHISHIBROKE,SHISHIBROKE,"Pablo Chill-E, Polimá Westcoast",TRUE,TRUE,6y4mDVEMke0cnfdTCApqlv,https://p.scdn.co/mp3-preview/684f875d1227f843a4dbd2565047c833a1575e94?cid=774b29d4f13844c495f206cafdad9c86
Pablo Chill-E,Neo Pistea,LA MANTECA - REMIX,LA MANTECA - REMIX,"Pablo Chill-E, Massi Nada Mas, Neo Pistea, Diamante Ayala, Obie Wanshot, Papi Trujillo, Cuban Bling",TRUE,TRUE,5x1wKXnbhBMDRlzpZ5chUh,https://p.scdn.co/mp3-preview/d46b44d7f604033314627c4db10fe540046ecf67?cid=774b29d4f13844c495f206cafdad9c86
Pablo Chill-E,Obie Wanshot,LA MANTECA - REMIX,LA MANTECA - REMIX,"Pablo Chill-E, Massi Nada Mas, Neo Pistea, Diamante Ayala, Obie Wanshot, Papi Trujillo, Cuban Bling",TRUE,TRUE,5x1wKXnbhBMDRlzpZ5chUh,https://p.scdn.co/mp3-preview/d46b44d7f604033314627c4db10fe540046ecf67?cid=774b29d4f13844c495f206cafdad9c86
Pablo Chill-E,Simon la Letra,De Menor,De Menor,"Pablo Chill-E, Simon la Letra, El Menor",TRUE,TRUE,66RTg1nP8NWZY5CbsSkR4d,https://p.scdn.co/mp3-preview/e85a1d5a51d6b0bb84840f9fcd16e3767933b316?cid=774b29d4f13844c495f206cafdad9c86
Pablo Chill-E,Young Cister,Somos Pobres,Somos Pobres,"Pablo Chill-E, Kaydy Cain, Young Cister, Big Angelo",TRUE,TRUE,0j0Bh8GYiUMpS0Qn6Q45bW,https://p.scdn.co/mp3-preview/5960f80b4f2eb4c77a2a15b098d57a7cfa511806?cid=774b29d4f13844c495f206cafdad9c86
Pablo Chill-E,Kaydy Cain,Somos Pobres,Somos Pobres,"Pablo Chill-E, Kaydy Cain, Young Cister, Big Angelo",TRUE,TRUE,0j0Bh8GYiUMpS0Qn6Q45bW,https://p.scdn.co/mp3-preview/5960f80b4f2eb4c77a2a15b098d57a7cfa511806?cid=774b29d4f13844c495f206cafdad9c86
Pablo Chill-E,Dayme y El High,Tiger,Tiger,"Pablo Chill-E, Dayme y El High, Brray, Gaviria",TRUE,TRUE,3ATyzEIDYlMn9SlsPbt5vZ,https://p.scdn.co/mp3-preview/8057fc03b3364aefc1105a311d5ce12fa04cdef3?cid=774b29d4f13844c495f206cafdad9c86
Pablo Chill-E,Brray,Tiger,Tiger,"Pablo Chill-E, Dayme y El High, Brray, Gaviria",TRUE,TRUE,3ATyzEIDYlMn9SlsPbt5vZ,https://p.scdn.co/mp3-preview/8057fc03b3364aefc1105a311d5ce12fa04cdef3?cid=774b29d4f13844c495f206cafdad9c86
Kendo Kaponi,Farruko,Amor,Amor,"Kendo Kaponi, Farruko",TRUE,TRUE,49ZGGbUkNj3kfKAa1jCeAE,https://p.scdn.co/mp3-preview/d3c0a41effbd65416af0c508e9ae958f1dfcd946?cid=774b29d4f13844c495f206cafdad9c86
Kendo Kaponi,Darell,No Somos Iguales,No Somos Iguales,"Kendo Kaponi, Darell, Juanka, Pacho El Antifeka",TRUE,TRUE,5Fd1QRjdWF1iYQMvF3AR6c,https://p.scdn.co/mp3-preview/96dd091cc3dffaba62ddf2a0a9958b9ab9bd7f7c?cid=774b29d4f13844c495f206cafdad9c86
Kendo Kaponi,Juanka,No Somos Iguales,No Somos Iguales,"Kendo Kaponi, Darell, Juanka, Pacho El Antifeka",TRUE,TRUE,5Fd1QRjdWF1iYQMvF3AR6c,https://p.scdn.co/mp3-preview/96dd091cc3dffaba62ddf2a0a9958b9ab9bd7f7c?cid=774b29d4f13844c495f206cafdad9c86
Kendo Kaponi,Pacho El Antifeka,No Somos Iguales,No Somos Iguales,"Kendo Kaponi, Darell, Juanka, Pacho El Antifeka",TRUE,TRUE,5Fd1QRjdWF1iYQMvF3AR6c,https://p.scdn.co/mp3-preview/96dd091cc3dffaba62ddf2a0a9958b9ab9bd7f7c?cid=774b29d4f13844c495f206cafdad9c86
Kendo Kaponi,Noriel,Fuego,Fuego,"Kendo Kaponi, Noriel, Bryant Myers, Pacho El Antifeka, Anonimus",TRUE,TRUE,1Nzq3bqucbW6vAW1WF6jLg,https://p.scdn.co/mp3-preview/37193d3c3789c1641dce5604cdb2fe2b55ac2ca3?cid=774b29d4f13844c495f206cafdad9c86
Kendo Kaponi,Bryant Myers,Fuego,Fuego,"Kendo Kaponi, Noriel, Bryant Myers, Pacho El Antifeka, Anonimus",TRUE,TRUE,1Nzq3bqucbW6vAW1WF6jLg,https://p.scdn.co/mp3-preview/37193d3c3789c1641dce5604cdb2fe2b55ac2ca3?cid=774b29d4f13844c495f206cafdad9c86
Kendo Kaponi,Anonimus,Fuego,Fuego,"Kendo Kaponi, Noriel, Bryant Myers, Pacho El Antifeka, Anonimus",TRUE,TRUE,1Nzq3bqucbW6vAW1WF6jLg,https://p.scdn.co/mp3-preview/37193d3c3789c1641dce5604cdb2fe2b55ac2ca3?cid=774b29d4f13844c495f206cafdad9c86
Kendo Kaponi,Ozuna,Paso,Paso,"Kendo Kaponi, Ozuna",TRUE,TRUE,6hAFVoQQGUYM6Ti0N0UKoO,https://p.scdn.co/mp3-preview/34c1f521a2d00363539b610f376a0d997ce3d618?cid=774b29d4f13844c495f206cafdad9c86
Kendo Kaponi,Anuel AA,Nanana,Nanana,"Kendo Kaponi, Anuel AA",TRUE,TRUE,3slH8q2QxyyZdp4MiXEyuO,https://p.scdn.co/mp3-preview/039fae8d81dd4d8f90c813f939feede6d2ef2d82?cid=774b29d4f13844c495f206cafdad9c86
Kendo Kaponi,Ñejo,No Te Enamores,No Te Enamores,"Kendo Kaponi, Ñejo",TRUE,TRUE,3q4wUPzEmHYoo9mqXQWqDe,https://p.scdn.co/mp3-preview/f118a53715d330f3c90141e75ecffed221fccd86?cid=774b29d4f13844c495f206cafdad9c86
Kendo Kaponi,Don Omar,Pacto de Muerte,Pacto de Muerte,"Kendo Kaponi, Don Omar",TRUE,TRUE,3cYYYuLspYHVL2KFHQCMDq,https://p.scdn.co/mp3-preview/f3af61976ebe10568c5f8bf9f0d616397da1cf38?cid=774b29d4f13844c495f206cafdad9c86
Kendo Kaponi,Cosculluela,Criminal,Criminal,"Kendo Kaponi, Cosculluela",TRUE,TRUE,5jabcPg6gKWp3Cwa5azWre,https://p.scdn.co/mp3-preview/ff5e382ad6d130505454f695147b7ad2f1e48a8d?cid=774b29d4f13844c495f206cafdad9c86
Kendo Kaponi,Sinfonico,Sinfonico Presenta: Me Compre Un Full - Alqaeda Remix,Sinfonico Presenta: Me Compre Un Full - Alqaeda Remix,"Kendo Kaponi, Juanka, Sinfonico, Maximus Wel, D.OZi, Pacho El Antifeka",TRUE,TRUE,1oTZRcsfsSKn77qbfUYR2N,https://p.scdn.co/mp3-preview/fc94b4d5a7e720a6a71c6fb218180f9bf52b2ff9?cid=774b29d4f13844c495f206cafdad9c86
Kendo Kaponi,D.OZi,Sinfonico Presenta: Me Compre Un Full - Alqaeda Remix,Sinfonico Presenta: Me Compre Un Full - Alqaeda Remix,"Kendo Kaponi, Juanka, Sinfonico, Maximus Wel, D.OZi, Pacho El Antifeka",TRUE,TRUE,1oTZRcsfsSKn77qbfUYR2N,https://p.scdn.co/mp3-preview/fc94b4d5a7e720a6a71c6fb218180f9bf52b2ff9?cid=774b29d4f13844c495f206cafdad9c86
Kendo Kaponi,Benny Benni,Mientras Yo Siga de Pie,Mientras Yo Siga de Pie,"Kendo Kaponi, Benny Benni, Welo Fama",TRUE,TRUE,3J4q79YaQ5qdZYU8RWR4el,https://p.scdn.co/mp3-preview/85647b00e29aee2782a3602853cdef45a817ff2b?cid=774b29d4f13844c495f206cafdad9c86
Ñejo,Ñejo & Dalmata,Pasarela,Pasarela,Ñejo & Dalmata,TRUE,FALSE,1MfqPCs3Y722VK6zkWZ98Z,https://p.scdn.co/mp3-preview/b1981b4699e8c44e83ec940de45cbc4fb8ec1873?cid=774b29d4f13844c495f206cafdad9c86
