source,target,type,id,label,timeset,weight,colab_track_popularity,colab_track_name,colab_track
Malú,DJ Luian,Directed,7795,,,1,73,Aloha,"[[""Aloha"", 73]]"
Malú,Darell,Directed,7796,,,2,73,Aloha,"[[""Aloha"", 73], [""Me Acuerdo de Ti (feat. Darell)"", 47]]"
Malú,Myke Towers,Directed,7797,,,1,70,Madrid (feat. Myke Towers),"[[""Madrid (feat. Myke Towers)"", 70]]"
Malú,Lenny Tavárez,Directed,7798,,,3,72,Parce (feat. Justin Quiles),"[[""Parce (feat. Justin Quiles)"", 72], [""Sexo Sin Titulo (feat. Jay Wheeler & Lenny Tav\u00e1rez)"", 63], [""Parce (feat. Justin Quiles)"", 41]]"
Malú,Justin Quiles,Directed,7799,,,2,72,Parce (feat. Justin Quiles),"[[""Parce (feat. Justin Quiles)"", 72], [""Parce (feat. Justin Quiles)"", 41]]"
Malú,Trap Capos,Directed,7800,,,2,68,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)","[[""Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)"", 68], [""Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)"", 43]]"
Malú,Noriel,Directed,7801,,,2,68,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)","[[""Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)"", 68], [""Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)"", 43]]"
Malú,Bryant Myers,Directed,7802,,,2,68,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)","[[""Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)"", 68], [""Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)"", 43]]"
Malú,Juhn,Directed,7803,,,2,68,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)","[[""Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)"", 68], [""Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)"", 43]]"
Malú,Marc Anthony,Directed,7804,,,1,63,Felices los 4 (feat. Marc Anthony) - Salsa Version,"[[""Felices los 4 (feat. Marc Anthony) - Salsa Version"", 63]]"
Malú,J Balvin,Directed,7805,,,1,64,Qué Pena,"[[""Qu\u00e9 Pena"", 64]]"
Malú,Bad Bunny,Directed,7806,,,1,66,"Un Polvo (feat. Bad Bunny, Arcángel, Ñengo Flow & De La Ghetto)","[[""Un Polvo (feat. Bad Bunny, Arc\u00e1ngel, \u00d1engo Flow & De La Ghetto)"", 66]]"
Malú,Arcangel,Directed,7807,,,4,67,Tsunami (feat. Arcangel & De La Ghetto),"[[""Un Polvo (feat. Bad Bunny, Arc\u00e1ngel, \u00d1engo Flow & De La Ghetto)"", 66], [""Tsunami (feat. Arcangel & De La Ghetto)"", 67], [""Vitamina (feat. Arc\u00e1ngel)"", 53], [""Tu Cari\u00f1o (feat. Arc\u00e1ngel)"", 42]]"
Malú,Ñengo Flow,Directed,7808,,,2,66,"Un Polvo (feat. Bad Bunny, Arcángel, Ñengo Flow & De La Ghetto)","[[""Un Polvo (feat. Bad Bunny, Arc\u00e1ngel, \u00d1engo Flow & De La Ghetto)"", 66], [""Mai Mai (feat. \u00d1engo Flow & Jory Boy)"", 56]]"
Malú,De La Ghetto,Directed,7809,,,2,67,Tsunami (feat. Arcangel & De La Ghetto),"[[""Un Polvo (feat. Bad Bunny, Arc\u00e1ngel, \u00d1engo Flow & De La Ghetto)"", 66], [""Tsunami (feat. Arcangel & De La Ghetto)"", 67]]"
Malú,Ricky Martin,Directed,7810,,,1,67,No Se Me Quita (feat. Ricky Martin),"[[""No Se Me Quita (feat. Ricky Martin)"", 67]]"
Malú,Jay Wheeler,Directed,7811,,,1,63,Sexo Sin Titulo (feat. Jay Wheeler & Lenny Tavárez),"[[""Sexo Sin Titulo (feat. Jay Wheeler & Lenny Tav\u00e1rez)"", 63]]"
Malú,Quimico Ultra Mega,Directed,7812,,,3,57,"Culo Chapa (feat. La Perversa, Quimico Ultra Mega & Haraca Kiko)","[[""Culo Chapa (feat. La Perversa, Quimico Ultra Mega & Haraca Kiko)"", 57], [""Culo Chapa"", 1], [""Culo Chapa"", 0]]"
Malú,Ozuna,Directed,7813,,,1,53,Dispuesto (feat. Ozuna),"[[""Dispuesto (feat. Ozuna)"", 53]]"
Malú,Becky G,Directed,7814,,,1,55,Mala Mía - Remix,"[[""Mala M\u00eda - Remix"", 55]]"
Malú,Sech,Directed,7815,,,1,55,Instinto Natural (feat. Sech),"[[""Instinto Natural (feat. Sech)"", 55]]"
Malú,Zion,Directed,7816,,,1,53,Bella-K (feat. Zion & Randy),"[[""Bella-K (feat. Zion & Randy)"", 53]]"
Malú,Randy,Directed,7817,,,1,53,Bella-K (feat. Zion & Randy),"[[""Bella-K (feat. Zion & Randy)"", 53]]"
Malú,Yandel,Directed,7818,,,2,52,Perdón (feat. Yandel),"[[""Perd\u00f3n (feat. Yandel)"", 52], [""El Perdedor (feat. Yandel) - The Remix"", 48]]"
Malú,Nicky Jam,Directed,7819,,,1,51,No Puedo Olvidarte (feat. Nicky Jam),"[[""No Puedo Olvidarte (feat. Nicky Jam)"", 51]]"
Malú,Jory Boy,Directed,7820,,,1,56,Mai Mai (feat. Ñengo Flow & Jory Boy),"[[""Mai Mai (feat. \u00d1engo Flow & Jory Boy)"", 56]]"
Malú,Blessd,Directed,7821,,,1,54,"L.N.E.M. (GATA) (feat. Kapla y Miky, Philip Ariaz & Blessd)","[[""L.N.E.M. (GATA) (feat. Kapla y Miky, Philip Ariaz & Blessd)"", 54]]"
Malú,Prince Royce,Directed,7822,,,1,50,Hangover (feat. Prince Royce),"[[""Hangover (feat. Prince Royce)"", 50]]"
Malú,Don Omar,Directed,7823,,,1,51,Sin Contrato (feat. Don Omar & Wisin) - Remix,"[[""Sin Contrato (feat. Don Omar & Wisin) - Remix"", 51]]"
Malú,Wisin,Directed,7824,,,1,51,Sin Contrato (feat. Don Omar & Wisin) - Remix,"[[""Sin Contrato (feat. Don Omar & Wisin) - Remix"", 51]]"
Malú,Cosculluela,Directed,7825,,,1,54,Pretextos (feat. Cosculluela),"[[""Pretextos (feat. Cosculluela)"", 54]]"
Malú,Zion & Lennox,Directed,7826,,,1,48,Extrañándote (feat. Zion & Lennox),"[[""Extra\u00f1\u00e1ndote (feat. Zion & Lennox)"", 48]]"
Malú,Ñejo,Directed,7827,,,1,50,Vete Vete (feat. Ñejo & Dálmata),"[[""Vete Vete (feat. \u00d1ejo & D\u00e1lmata)"", 50]]"
Malú,Dalmata,Directed,7828,,,1,50,Vete Vete (feat. Ñejo & Dálmata),"[[""Vete Vete (feat. \u00d1ejo & D\u00e1lmata)"", 50]]"
Malú,Leslie Grace,Directed,7829,,,1,47,Tengo un Amor (feat. Leslie Grace),"[[""Tengo un Amor (feat. Leslie Grace)"", 47]]"
Malú,Yomo,Directed,7830,,,1,47,Cuidau (feat. Yomo),"[[""Cuidau (feat. Yomo)"", 47]]"
Malú,Alexis y Fido,Directed,7831,,,1,46,Una Aventura (feat. Alexis & Fido),"[[""Una Aventura (feat. Alexis & Fido)"", 46]]"
Malú,Farruko,Directed,7832,,,1,46,¿Dónde Estás? (feat. Farruko),"[[""\u00bfD\u00f3nde Est\u00e1s? (feat. Farruko)"", 46]]"
Malú,Farina,Directed,7833,,,1,44,Puesto Pa' Ti (feat. Farina),"[[""Puesto Pa' Ti (feat. Farina)"", 44]]"
Malú,Luar La L,Directed,7834,,,1,42,Complicado (feat. Luar La L),"[[""Complicado (feat. Luar La L)"", 42]]"
Malú,Pablo Alborán,Directed,7835,,,1,55,Vuelvo a Verte (with Pablo Albóran),"[[""Vuelvo a Verte (with Pablo Alb\u00f3ran)"", 55]]"
