id,label,interval,followers,popularity,id,componentnumber,strongcompnum,indegree,outdegree,unique_collabs,weighted_indegree,weighted_outdegree,total_collabs,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks
"Franco ""El Gorilla""","Franco ""El Gorilla""",,275336,58,2biH2I1TvZlIIIc5W14oIJ,0,22,35,25,60,66,92,158,7,0.298494,0.344023,772.787502,1,0.002624
Mariah Angeliq,Mariah Angeliq,,332599,70,0KKUc4amZyvswV2YL6WTar,0,22,19,10,29,131,113,244,8,0.272323,0.310704,1087.002878,3,0.001822
CNCO,CNCO,,9014294,70,0eecdvMrqBftK0M1VKhaF4,0,22,11,7,18,14,11,25,7,0.282955,0.311714,279.57584,1,0.001065
Alberto Stylee,Alberto Stylee,,295996,54,5mgqYTU6dhKlEdi7DOy4uU,0,22,13,15,28,36,24,60,7,0.277366,0.31607,1408.062861,1,0.001247
Andy Rivera,Andy Rivera,,2511940,66,7hIqJfRYGBWWT1Qxu6Cpd2,0,22,8,18,26,24,23,47,7,0.294323,0.336852,404.519906,0,0.000718
Brray,Brray,,171908,68,1GKIlPFdcewHtpDVCQ8zmJ,0,22,68,37,105,130,177,307,7,0.321565,0.374954,7197.678893,0,0.005323
Shakira,Shakira,,24259512,85,0EmeFodog0BfCgMzAIvKQp,0,22,14,11,25,25,22,47,7,0.305115,0.342324,2193.18436,5,0.001112
Alejandro Sanz,Alejandro Sanz,,6395705,75,5sUrlPAHlS9NEirDB8SEbF,0,22,24,23,47,55,31,86,6,0.306085,0.346142,7696.719915,5,0.00189
El Cata,El Cata,,8870,53,52aHqEQZ802daFzuMHfcES,0,22,9,7,16,15,6,21,8,0.267566,0.296422,277.625378,1,0.000747
Gustavo Cerati,Gustavo Cerati,,3169471,68,1QOmebWGB6FdFtW7Bo3F0W,0,22,8,3,11,10,2,12,7,0.229721,0.245627,780.048162,5,0.001007
Carlinhos Brown,Carlinhos Brown,,133143,51,5jvQoouPSDvUEwynz5KPpv,0,22,3,3,6,3,4,7,8,0.245359,0.264383,75.697741,5,0.000434
