,spotify_id,name_id,name,followers,popularity,betweeness_centrality,group,unique_collabs,total_collabs,image
179,7A02nc5WKMBLqSKXxGZ4o8,Llane,Llane,58065,56,3947.806985,2,35,46,https://i.scdn.co/image/ab6761610000e5eba49a0f5fcfdda1b8bf431849
180,7okwEbXzyT2VffBmyQBWLz,Maná,Maná,8281658,76,273.630295,6,5,5,https://i.scdn.co/image/ab6761610000e5eb152dcec8175d19fb12eeb8e0
181,7vXDAI8JwjW531ouMGbfcp,TINI,TINI,4704940,79,2027.197522,2,38,52,https://i.scdn.co/image/ab6761610000e5eb0cd53a4c51d4cde67789432d
182,0UWZUmn7sybxMCqrw9tGa7,Juanes,Juanes,3940375,73,7918.842596,6,33,64,https://i.scdn.co/image/ab6761610000e5eb250f1e78d9f8b375b33e5ad6
183,1vrahybrKylgwkjhbmOz94,Yera,Yera,56558,60,3055.450323,2,43,77,https://i.scdn.co/image/ab6761610000e5eb9805a7d2689558400db9d9d6
184,6sq1yF0OZEWA4xoXVKW1L9,Alejandro Fernández,Alejandro Fernández,5841495,75,3662.352782,6,26,39,https://i.scdn.co/image/ab6761610000e5eb452691cfa37fdd5b3417ed0d
185,7Hf9AwMO37bSdxHb0FBGmO,Alejandra Guzman,Alejandra Guzman,3030639,67,1158.051162,6,13,28,https://i.scdn.co/image/ab6761610000e5ebff480914a36f06a1dca2c8e8
186,5gOJTI4TusSENizxhcG7jB,David Bisbal,David Bisbal,4002152,70,6115.237434,6,41,70,https://i.scdn.co/image/ab6761610000e5eb20d6518a838a8dc7bfdb540e
187,3ATyg4fGC9F8trfb0GRWmX,Joey Montana,Joey Montana,2596478,64,5858.623347,2,40,67,https://i.scdn.co/image/ab6761610000e5eb950174a9aa24bd9b87000396
188,2DP9xStkVVv753RBiEHXQB,Alkilados,Alkilados,1922269,56,2842.783419,0,12,14,https://i.scdn.co/image/ab6761610000e5ebe19e07273c64fb35c283904c
189,3vQ0GE3mI0dAaxIMYe5g7z,Paulo Londra,Paulo Londra,17795379,79,53.551892,0,11,14,https://i.scdn.co/image/ab6761610000e5ebf796a976c5597baf6f7b786c
190,3YXpTiyVmYCfANOlnWv6vr,Trebol Clan,Trebol Clan,1409715,59,477.56411,3,32,51,https://i.scdn.co/image/ab6761610000e5eb3fd0dfa279be80ed876d401a
191,4DYFVNKZ1uixa6SQTvzQwJ,Ken-Y,Ken-Y,316391,62,134.648788,3,25,57,https://i.scdn.co/image/ab6761610000e5ebdcc1069f2a7abbec7a2cb9c1
192,1ljNTY4uIBecRJmy69UNWt,Don Chezina,Don Chezina,329500,53,53.088758,3,14,25,https://i.scdn.co/image/ab6761610000e5ebf59372550193ff28bcd5bfd1
193,7a9gFzWS5uEHtbNNgA6xyM,D.OZi,D.OZi,191421,50,307.884602,0,40,63,https://i.scdn.co/image/ab6761610000e5eb6676229f5a220d4094d88ac7
194,62lbdm09j0QUbWB7SqCJvt,Anonimus,Anonimus,265764,52,1901.183338,0,68,118,https://i.scdn.co/image/ab6761610000e5eb353d4cda36afbd18d4c7b186
195,76whng5pl9msPkkjFUtWYn,Tempo,Tempo,859730,56,633.835246,0,41,53,https://i.scdn.co/image/ab6761610000e5eb401a07e7ab25be8918561564
196,5TYxZTjIPqKM8K8NuP9woO,C. Tangana,C. Tangana,2105396,75,12386.390468,10,35,53,https://i.scdn.co/image/ab6761610000e5ebdfb9d2cb6a43021d9002a10e
197,66U02qGDesTqZImnLSiYeE,Elvis Martinez,Elvis Martinez,233556,50,52.035854,6,4,5,https://i.scdn.co/image/ab6761610000e5eb0a7a7dadfe1bc9e0971649a8
198,4vQV1LCGBdYAt5rIIPjSFZ,Frank Reyes,Frank Reyes,546641,56,1140.708376,11,7,9,https://i.scdn.co/image/ab6761610000e5ebbbe87779d198b31d6d54b80c
199,4RnIr0AAau1SBJMbjJ9poC,El Chaval de la Bachata,El Chaval de la Bachata,280570,53,2.0,6,4,6,https://i.scdn.co/image/ab6761610000e5ebc6c232b760c490ab66cb20c5
