,source,target,weight,track_name,artists,preview,source_id,target_id,track_id
35,Bad Bunny,Marc Anthony,1,Está Rico,"Marc Anthony, Will Smith, Bad Bunny",https://p.scdn.co/mp3-preview/d345cdef8cf053c618aa52d99f26971bd2c1aa98?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,4wLXwxDeWQ8mtUIRPxGiD6,2wRkBumdItthjYP9XknImg
36,Bad Bunny,Pacho El Antifeka,1,Como Soy,"Pacho El Antifeka, Daddy Yankee, Bad Bunny",https://p.scdn.co/mp3-preview/147ba666bdd8f44bcd3abc2249f9c76ba9e18925?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,03Enzet8KLMkjdeQnbqbmn,6l2UmWFHtPqgWq0hnqlfJT
37,Bad Bunny,"Héctor ""El Father""",1,Vamos Pa' la Calle,,,4q3ewBCX7sLwd24euuV69X,2TjgzYcbTdsZjbT9OItIeB,
38,Bad Bunny,Ñejo,1,¿Cual Es Tu Plan?,"Bad Bunny, Ñejo, Pj Sin Suela, DJ Nelson",https://p.scdn.co/mp3-preview/20579555384fd759af8a4a55574664b2493c7cac?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,2OHKEe204spO7G7NcbeO2o,45jM2fuCq0NHD9p7xn0ptd
39,Bad Bunny,Pj Sin Suela,1,¿Cual Es Tu Plan?,"Bad Bunny, Ñejo, Pj Sin Suela, DJ Nelson",https://p.scdn.co/mp3-preview/20579555384fd759af8a4a55574664b2493c7cac?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,0AdjzZxHJ4MfbImx2rD0Df,45jM2fuCq0NHD9p7xn0ptd
40,Bad Bunny,DJ Nelson,1,¿Cual Es Tu Plan?,"Bad Bunny, Ñejo, Pj Sin Suela, DJ Nelson",https://p.scdn.co/mp3-preview/20579555384fd759af8a4a55574664b2493c7cac?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,2ydZrTy8U3kOMOzx20s3dg,45jM2fuCq0NHD9p7xn0ptd
41,Bad Bunny,Bryant Myers,7,Pa Ti,"Bad Bunny, Bryant Myers",https://p.scdn.co/mp3-preview/51b743f1bee8d92ff0befd74667adc72321b01b1?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,6w9ToX5slZ4uIdmD17hJ3c,2QrGCbW0ylj94JfkgLZFlA
42,Bad Bunny,Casper Magico,1,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",https://p.scdn.co/mp3-preview/8dc93bba37297078743568d71b4d920de5ef762c?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,1fux65HMCBvfJHqlBc4Nno,3V8UKqhEK5zBkBb6d6ub8i
43,Bad Bunny,Darell,2,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",https://p.scdn.co/mp3-preview/8dc93bba37297078743568d71b4d920de5ef762c?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,1TtXnWcUs0FCkaZDPGYHdf,3V8UKqhEK5zBkBb6d6ub8i
44,Bad Bunny,Ozuna,4,Diles,"Bad Bunny, Ozuna, Farruko, Arcangel, Ñengo Flow, DJ Luian, Mambo Kingz",https://p.scdn.co/mp3-preview/0a4fa12dea105b71d7e0a9facddc6b8cfe138af5?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,1i8SpTcr7yvPOmcqrbnVXY,6C1RD7YQVvt3YQj0CmuTeu
45,Bad Bunny,Cosculluela,3,Madura (feat. Bad Bunny),"Cosculluela, Bad Bunny",https://p.scdn.co/mp3-preview/b4f1b725e99b518282c9838369d4b0b75b0519ac?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,00me4Ke1LsvMxt5kydlMyU,0r9d60ZYPAlFHq8qnUtkXN
46,Bad Bunny,Noriel,6,Me Mata,"Bad Bunny, Mambo Kingz, DJ Luian, Arcangel, Almighty, Bryant Myers, Noriel, Baby Rasta, Brytiago",https://p.scdn.co/mp3-preview/f91a153f4e47c4a6fc9fe768fb51593f3a4f8b86?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,3RtNN1VnooWEn3KQk03DUL,2wgDAPgBhFA7pnIbm0YOhP
47,Bad Bunny,Brytiago,3,Me Mata,"Bad Bunny, Mambo Kingz, DJ Luian, Arcangel, Almighty, Bryant Myers, Noriel, Baby Rasta, Brytiago",https://p.scdn.co/mp3-preview/f91a153f4e47c4a6fc9fe768fb51593f3a4f8b86?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,00XhexlJEXQstHimpZN910,2wgDAPgBhFA7pnIbm0YOhP
48,Bad Bunny,Revol,2,Caile,"Bad Bunny, Bryant Myers, De La Ghetto, Revol, Zion",https://p.scdn.co/mp3-preview/d7c8d8de3dbc302745e4d81b562eab77cc42dd57?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,2wYOpkTJZGByNEOjEnSmoW,5lr877wwUsB8inLGywHKxa
49,Bad Bunny,De La Ghetto,2,Caile,"Bad Bunny, Bryant Myers, De La Ghetto, Revol, Zion",https://p.scdn.co/mp3-preview/d7c8d8de3dbc302745e4d81b562eab77cc42dd57?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,3EiLUeyEcA6fbRPSHkG5kb,5lr877wwUsB8inLGywHKxa
50,Bad Bunny,KHEA,1,Loca - Remix,"KHEA, Bad Bunny, Duki, Cazzu",https://p.scdn.co/mp3-preview/a2deeb347df776468ac9dd12d3c330c6c77804da?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,4m6ubhNsdwF4psNf3R8kwR,2ECIwi1a7mfokdDkkJ08Ne
51,Bad Bunny,Cazzu,1,Loca - Remix,"KHEA, Bad Bunny, Duki, Cazzu",https://p.scdn.co/mp3-preview/a2deeb347df776468ac9dd12d3c330c6c77804da?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,6w3SkAHYPsQ1bxV7VDlG5y,2ECIwi1a7mfokdDkkJ08Ne
52,Bad Bunny,Alex Sensation,1,Fantasía,"Alex Sensation, Bad Bunny",https://p.scdn.co/mp3-preview/961281f3e3c7c684791ac1750359411768a7b0fb?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,0OROVBEZCocg0FcgJpyBse,72BQwM1wnBQCbjwjRu1rmF
53,Bad Bunny,Benny Benni,1,El Combo Me Llama 2,"Benny Benni, Daddy Yankee, Bad Bunny, Pusho, Farruko, Noriel, Miky Woodz",https://p.scdn.co/mp3-preview/a94633d6cdb73b06465cb6fa5c55f601dfcb4bd4?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,5gUZ67Vzi1FV2SnrWl1GlE,4uuGltp3Z6d0IUxsSf4xFl
54,Bad Bunny,Pusho,1,El Combo Me Llama 2,"Benny Benni, Daddy Yankee, Bad Bunny, Pusho, Farruko, Noriel, Miky Woodz",https://p.scdn.co/mp3-preview/a94633d6cdb73b06465cb6fa5c55f601dfcb4bd4?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,2qbEtwBVyobgpNP5KcHE9J,4uuGltp3Z6d0IUxsSf4xFl
55,Bad Bunny,Farruko,5,Diles,"Bad Bunny, Ozuna, Farruko, Arcangel, Ñengo Flow, DJ Luian, Mambo Kingz",https://p.scdn.co/mp3-preview/0a4fa12dea105b71d7e0a9facddc6b8cfe138af5?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,329e4yvIujISKGKz1BZZbO,6C1RD7YQVvt3YQj0CmuTeu
56,Bad Bunny,Miky Woodz,1,El Combo Me Llama 2,"Benny Benni, Daddy Yankee, Bad Bunny, Pusho, Farruko, Noriel, Miky Woodz",https://p.scdn.co/mp3-preview/a94633d6cdb73b06465cb6fa5c55f601dfcb4bd4?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,1pf0MPKfKdvS8J779mS1Ay,4uuGltp3Z6d0IUxsSf4xFl
57,Bad Bunny,Natti Natasha,1,Amantes de una Noche,"Natti Natasha, Bad Bunny",https://p.scdn.co/mp3-preview/d2ad0210ae892db3c8135f9245a801da054a4120?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,1GDbiv3spRmZ1XdM1jQbT7,2iCOdoyDmWG3hWkbtH1KB2
58,Bad Bunny,Rvssian,2,Krippy Kush (feat. 21 Savage & Rvssian) - Remix,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage, Rvssian",https://p.scdn.co/mp3-preview/84abc58de3edbe615b45a5d4fba3ab548c68386d?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,1fctva4kpRbg2k3v7kwRuS,038kavjqUaGIYZL5lYocvX
59,Bad Bunny,KAROL G,2,Ahora Me Llama - Remix,"KAROL G, Bad Bunny, Quavo",https://p.scdn.co/mp3-preview/7e7e6ad2ee6824b6215cc8576671e583b51741d3?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,790FomKkXshlbRYZFtlgla,0mQD5ilmghCieAw6E6YFrd
60,Bad Bunny,Becky G,2,Mayores,"Becky G, Bad Bunny",https://p.scdn.co/mp3-preview/9430fe0d90a415dad3c2de3c06120ac1706c1f82?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,4obzFoKoKRHIphyHzJ35G3,2AY1UAimvTqjJC8vDJsOyy
